               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12297,            0.031454,                   0,          9.9502e-05,            0.025316,          5.1566e-05,          5.1566e-06,             0.11693,            0.023866,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12208,            0.029559,                   0,          0.00044776,             0.11392,          0.00025249,          4.6162e-05,             0.11161,            0.022385,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.11331,            0.030483,                   0,          0.00069652,             0.17722,           0.0005112,          9.9974e-05,             0.10402,            0.021353,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.11118,             0.02835,                   0,          0.00099502,             0.25316,          0.00085912,          0.00017799,            0.099179,            0.020469,                   0,            0.082844,           0.0018436,           0.0018436
                   4,             0.10758,            0.026147,                   0,          0.00094527,             0.24051,           0.0011234,           0.0002402,            0.095292,            0.019449,                   0,            0.078305,            0.002305,            0.002305
                   5,              0.1025,            0.026064,                   0,            0.001194,              0.3038,           0.0019346,          0.00043786,            0.090475,            0.019015,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.099125,             0.02405,                   0,           0.0017413,             0.44304,            0.012129,           0.0027572,            0.086211,            0.018274,                   0,            0.069198,            0.003198,            0.003198
                   7,             0.10042,            0.023838,                   0,           0.0022886,             0.58228,            0.016986,           0.0051519,            0.084736,            0.017611,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.088318,             0.02266,                   0,            0.013373,             0.50633,            0.063728,            0.025433,            0.076222,             0.01766,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.085194,            0.023971,                   0,           0.0097592,             0.62025,            0.073887,            0.024183,             0.07848,            0.016393,                   0,            0.055463,           0.0044634,           0.0044634
                  10,            0.079723,            0.022361,                   0,             0.18362,             0.31646,             0.10661,            0.035062,            0.075473,            0.016347,                   0,            0.050865,           0.0048654,           0.0048654
                  11,             0.07773,            0.024353,                   0,            0.081151,             0.37975,            0.067393,            0.016806,             0.07225,             0.01603,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.075195,            0.025869,                   0,             0.13283,             0.39241,             0.10924,              0.0281,            0.071693,            0.015577,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.069969,            0.025299,                   0,             0.19597,             0.25316,             0.11884,             0.04032,            0.072722,            0.014661,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.078466,             0.02475,                   0,             0.38742,             0.26582,              0.2223,            0.095547,            0.065259,            0.015671,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.068958,             0.02494,                   0,             0.12531,             0.12658,            0.063497,            0.015837,            0.075171,            0.015778,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.069653,            0.023149,                   0,             0.25524,             0.27765,             0.17498,            0.041664,            0.078549,            0.014341,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.069941,            0.022954,                   0,             0.38956,             0.34177,             0.29993,             0.12412,            0.056343,             0.01646,                   0,            0.018402,           0.0074021,           0.0074021
                  18,             0.06249,            0.027485,                   0,             0.39091,             0.34177,             0.24255,            0.065945,            0.071854,            0.014647,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.058524,            0.025446,                   0,             0.45155,             0.37523,             0.27622,            0.085068,            0.081449,            0.012442,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.074914,             0.02014,                   0,             0.41769,             0.37975,             0.28807,            0.087378,            0.080206,             0.01237,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.070225,            0.021837,                   0,             0.53812,             0.42771,             0.46265,             0.12263,            0.059639,            0.014565,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.063435,            0.022916,                   0,             0.32541,              0.4557,             0.22281,            0.085212,            0.067066,            0.013391,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.056937,            0.023319,                   0,             0.37443,             0.46975,             0.29784,            0.070548,            0.059641,            0.014345,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.062392,            0.022308,                   0,             0.17053,             0.35443,             0.15546,            0.039864,            0.064147,             0.01342,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.063522,            0.021045,                   0,             0.32694,             0.34177,             0.19734,            0.059424,            0.062283,            0.013219,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.05832,            0.020899,                   0,             0.41586,             0.46835,             0.36156,             0.12971,             0.05461,            0.014062,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.050588,            0.024624,                   0,             0.59604,              0.5443,             0.47511,             0.17904,             0.06306,            0.012362,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.055695,            0.022235,                   0,              0.5892,             0.59494,              0.5766,             0.22737,            0.046404,            0.014008,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.056993,            0.024745,                   0,             0.60528,             0.50469,             0.55157,             0.24224,            0.063773,            0.012126,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.053636,            0.019711,                   0,             0.71463,             0.51899,             0.65741,             0.25962,            0.041261,            0.014441,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.048082,            0.018671,                   0,             0.56445,             0.50857,             0.47288,             0.20922,             0.05029,            0.012862,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.053769,            0.018779,                   0,             0.45397,              0.6962,             0.55175,             0.17509,            0.048582,            0.012718,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.050746,            0.019552,                   0,             0.81608,              0.5443,             0.69749,             0.36722,            0.051039,             0.01127,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.047825,            0.018593,                   0,             0.64959,             0.77438,             0.72513,             0.24295,            0.044364,            0.011922,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.041683,            0.020074,                   0,             0.79552,             0.55696,             0.73498,             0.35808,            0.052458,            0.010258,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.054865,             0.01446,                   0,             0.77856,              0.6962,             0.82008,             0.24449,            0.045584,             0.01081,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.048271,            0.018759,                   0,             0.55761,             0.79747,             0.56988,             0.28105,            0.044769,            0.010181,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.046993,            0.017608,                   0,             0.86106,             0.78445,             0.89282,             0.39962,            0.042382,            0.010056,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.042039,            0.017096,                   0,             0.73665,             0.77215,             0.81088,             0.37512,            0.043792,           0.0095479,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.048713,            0.015906,                   0,             0.58848,             0.83544,             0.73378,             0.29259,            0.036781,            0.009855,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.043456,            0.015469,                   0,             0.62655,             0.74333,             0.65332,             0.27209,            0.043896,           0.0095323,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.048037,            0.012822,                   0,             0.51525,             0.87342,              0.7057,              0.2774,            0.044072,           0.0090329,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.041657,            0.015725,                   0,             0.56803,             0.70886,             0.67276,             0.27382,            0.040902,            0.009244,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.046529,            0.014329,                   0,             0.73363,             0.81013,             0.82707,             0.37861,            0.038055,           0.0089906,                   0,            0.005743,            0.005743,            0.005743
